"X","SERIAL","REF","version","faking","male","yob","german","educ","polint","lr","xm1","xm2","xm3","xm4","xm5","xm6","xm7","xw1","xw2","xw3","xw4","xh1","xh2","xh3","xh4","xj1","xj2","xj3","xj4","xf1","xf2","xf3","xf4","xr1","xr2","xr3","xr4","xd1","xd2","xd3","xd4","xo1","xo2","xo3","xo4","xm1a","xm2a","xm3a","xm4a","xm5a","xm6a","xm7a","xw1a","xw2a","xw3a","xw4a","xh1a","xh2a","xh3a","xh4a","xj1a","xj2a","xj3a","xj4a","xf1a","xf2a","xf3a","xf4a","xr1a","xr2a","xr3a","xr4a","xd1a","xd2a","xd3a","xd4a","xo1a","xo2a","xo3a","xo4a","xm2r","xw2r","xh2r","xj2r","xf2r","xr2r","xd2r","xo2r","xm3r","xw3r","xh3r","xj3r","xf3r","xr3r","xd3r","xo3r","dbm","dbw","dbh","dbj","dbf","dbr","dbd","dbo","dbma","dbwa","dbha","dbja","dbfa","dbra","dbda","dboa","am1","am2","am3","am4","cm1","cm2","cm3","cm4","sde1","sde2","sde3","sde4","sdd1","sdd2","sdd3","sdd4","am1a","am2a","am3a","am4a","cm1a","cm2a","cm3a","cm4a","sde1a","sde2a","sde3a","sde4a","sdd1a","sdd2a","sdd3a","sdd4a","am1r","am3r","cm1r","cm2r","sde2r","sde3r","sdd1r","sdd3r","aam","aaw","aah","aaj","aaf","aar","aad","aao","mot1","mot2","mot3","mot4","opp","anon","impDK","FI01_02","FI01_03","FI01_04","FI01_05","FI01_06","FI01_07","FI01_08","FI01_09","FI01_10","FI01_11","FI01_12","FI01_13","FI01_14","FI01_15","FI01_02a","FI01_03a","FI01_04a","FI01_05a","FI01_06a","FI01_07a","FI01_08a","FI01_09a","FI01_10a","FI01_11a","FI01_12a","FI01_13a","FI01_14a","FI01_15a","tdm1","tdm2","tdm3","tdm4","tdw1","tdw2","tdw3","tdw4","tdj1","tdj2","tdj3","tdj4","tdf1","tdf2","tdf3","tdf4","tdr1","tdr2","tdr3","tdr4","tdd1","tdd2","tdd3","tdd4","tdo1","tdo2","tdo3","tdo4","tdh1","tdh2","tdh3","tdh4","tdm1var","tdm2var","tdm3var","tdm4var","tdw1var","tdw2var","tdw3var","tdw4var","tdj1var","tdj2var","tdj3var","tdj4var","tdf1var","tdf2var","tdf3var","tdf4var","tdr1var","tdr2var","tdr3var","tdr4var","tdd1var","tdd2var","tdd3var","tdd4var","tdo1var","tdo2var","tdo3var","tdo4var","tdh1var","tdh2var","tdh3var","tdh4var","nsa","motiv","id"
"15",265,"5ed3e6dee265dd9f0eb297177213483d",264,"SL","no faking","male",1961,"German","Abitur",4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,2,4,2,4,3,4,3,4,4,2,3,2,7877,5952,3660,3782,4665,5220,3985,5358,3673,4699,4761,14684,4000,3210,2974,5443,4,2,4,2,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,4,2,5,"implicit DK","substantive","substantive","substantive","substantive","substantive","substantive","substantive","don't know","substantive","substantive","substantive","don't know","substantive","substantive",1275,1309,5395,1450,1906,1379,2152,3033,2581,1773,1178,2951,2697,2085,2.86036960985626,3.0605749486653,2.61088295687885,4.11909650924025,2.45893223819302,3.82956878850103,4.06673511293635,2.04209445585216,2.55441478439425,3.4394250513347,3.46509240246407,2.26488706365503,2.83675564681725,3.1611909650924,3.44558521560575,3.45379876796715,2.77618069815195,3.18172484599589,3.24332648870637,3.2217659137577,2.26488706365503,3.74640657084189,3.09034907597536,2.75154004106776,2.6611909650924,3.59958932238193,3.1611909650924,2.9435318275154,2.58624229979466,3.07700205338809,3.60369609856263,2.70739219712526,1.32066831134682,1.18954375953623,1.39519490303914,1.06288263610291,1.32359433661636,0.88973116021703,0.948265383000141,1.24899704759513,1.23393218543382,0.842678394685249,1.13084598323102,1.31311319380987,1.55091895975739,1.32548100563257,1.20515520701655,1.26970292349283,1.50381026947289,1.21154645658656,1.25316713481664,1.31150931410929,1.27200322464235,1.20078357964845,1.21485023773296,1.37294212737759,1.23349744962024,1.29068842315411,1.09320967983607,1.13452646507024,1.44527815705781,1.20166993421983,1.254909243623,1.31717037634193,10,13,7
"20",270,"2509a1307c7a52d96fec2ca2953b63a7",269,"SL","no faking","female",1977,"German","Abitur",4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,3,5,2,2,2,4,3,3,5,5,1,4,4,3476,3028,3161,3135,2027,3314,3492,4093,2959,3199,3017,2237,2095,2862,2585,4364,2,2,1,4,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,1,5,"explicit DK","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive","don't know","substantive","substantive",3170,1272,1655,1338,2042,1266,3029,2445,1545,1131,2154,2036,1719,5182,2.86036960985626,3.0605749486653,2.61088295687885,4.11909650924025,2.45893223819302,3.82956878850103,4.06673511293635,2.04209445585216,2.55441478439425,3.4394250513347,3.46509240246407,2.26488706365503,2.83675564681725,3.1611909650924,3.44558521560575,3.45379876796715,2.77618069815195,3.18172484599589,3.24332648870637,3.2217659137577,2.26488706365503,3.74640657084189,3.09034907597536,2.75154004106776,2.6611909650924,3.59958932238193,3.1611909650924,2.9435318275154,2.58624229979466,3.07700205338809,3.60369609856263,2.70739219712526,1.32066831134682,1.18954375953623,1.39519490303914,1.06288263610291,1.32359433661636,0.88973116021703,0.948265383000141,1.24899704759513,1.23393218543382,0.842678394685249,1.13084598323102,1.31311319380987,1.55091895975739,1.32548100563257,1.20515520701655,1.26970292349283,1.50381026947289,1.21154645658656,1.25316713481664,1.31150931410929,1.27200322464235,1.20078357964845,1.21485023773296,1.37294212737759,1.23349744962024,1.29068842315411,1.09320967983607,1.13452646507024,1.44527815705781,1.20166993421983,1.254909243623,1.31717037634193,7,15,10
"44",294,"49ba06815760297435347d6a9a82e84b",293,"SL","no faking","male",1964,"German","Abitur",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,4,4,4,1,3,4,2,3,4,5,1,4,2,3987,3532,3189,2930,4477,3057,1894,3435,4616,3482,3965,2731,2699,2058,2186,2620,3,2,2,2,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,3,2,4,"explicit DK","substantive","substantive","substantive","substantive","don't know","substantive","don't know","don't know","substantive","substantive","substantive","don't know","substantive","don't know",4514,1298,3891,2052,2095,1738,3760,1999,1894,2662,1566,1952,1536,13577,2.86036960985626,3.0605749486653,2.61088295687885,4.11909650924025,2.45893223819302,3.82956878850103,4.06673511293635,2.04209445585216,2.55441478439425,3.4394250513347,3.46509240246407,2.26488706365503,2.83675564681725,3.1611909650924,3.44558521560575,3.45379876796715,2.77618069815195,3.18172484599589,3.24332648870637,3.2217659137577,2.26488706365503,3.74640657084189,3.09034907597536,2.75154004106776,2.6611909650924,3.59958932238193,3.1611909650924,2.9435318275154,2.58624229979466,3.07700205338809,3.60369609856263,2.70739219712526,1.32066831134682,1.18954375953623,1.39519490303914,1.06288263610291,1.32359433661636,0.88973116021703,0.948265383000141,1.24899704759513,1.23393218543382,0.842678394685249,1.13084598323102,1.31311319380987,1.55091895975739,1.32548100563257,1.20515520701655,1.26970292349283,1.50381026947289,1.21154645658656,1.25316713481664,1.31150931410929,1.27200322464235,1.20078357964845,1.21485023773296,1.37294212737759,1.23349744962024,1.29068842315411,1.09320967983607,1.13452646507024,1.44527815705781,1.20166993421983,1.254909243623,1.31717037634193,7,9,21
"49",299,"4e30df70f92c9e5629b9071530aa9863",298,"SL","no faking","female",1985,"German","Fachhochschulreife",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,4,3,2,1,3,5,5,3,5,5,4,4,2,5441,12147,3988,3094,2571,5987,3472,5485,4238,4144,5703,3034,3616,3782,4710,5188,4,5,3,4,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,5,4,"implicit DK","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive",2392,1207,3476,1370,1699,1122,1496,1609,1845,2642,1414,1305,5719,1887,2.86036960985626,3.0605749486653,2.61088295687885,4.11909650924025,2.45893223819302,3.82956878850103,4.06673511293635,2.04209445585216,2.55441478439425,3.4394250513347,3.46509240246407,2.26488706365503,2.83675564681725,3.1611909650924,3.44558521560575,3.45379876796715,2.77618069815195,3.18172484599589,3.24332648870637,3.2217659137577,2.26488706365503,3.74640657084189,3.09034907597536,2.75154004106776,2.6611909650924,3.59958932238193,3.1611909650924,2.9435318275154,2.58624229979466,3.07700205338809,3.60369609856263,2.70739219712526,1.32066831134682,1.18954375953623,1.39519490303914,1.06288263610291,1.32359433661636,0.88973116021703,0.948265383000141,1.24899704759513,1.23393218543382,0.842678394685249,1.13084598323102,1.31311319380987,1.55091895975739,1.32548100563257,1.20515520701655,1.26970292349283,1.50381026947289,1.21154645658656,1.25316713481664,1.31150931410929,1.27200322464235,1.20078357964845,1.21485023773296,1.37294212737759,1.23349744962024,1.29068842315411,1.09320967983607,1.13452646507024,1.44527815705781,1.20166993421983,1.254909243623,1.31717037634193,11,11,24
"55",305,"ada5d108e70f4b320d516490a72083c8",304,"SL","no faking","female",1979,"German","Realschule",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,2,4,3,2,3,3,4,4,2,5,2,4,3,5362,9631,3831,3847,6874,5986,3034,8941,4039,5414,5179,3926,3548,3126,4745,4385,3,2,2,3,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,5,3,3,"explicit DK","substantive","substantive","don't know","don't know","substantive","don't know","don't know","don't know","substantive","don't know","don't know","don't know","don't know","don't know",1466,3234,5828,10883,7273,5636,5301,2030,3385,2835,2464,2031,2805,1645,2.86036960985626,3.0605749486653,2.61088295687885,4.11909650924025,2.45893223819302,3.82956878850103,4.06673511293635,2.04209445585216,2.55441478439425,3.4394250513347,3.46509240246407,2.26488706365503,2.83675564681725,3.1611909650924,3.44558521560575,3.45379876796715,2.77618069815195,3.18172484599589,3.24332648870637,3.2217659137577,2.26488706365503,3.74640657084189,3.09034907597536,2.75154004106776,2.6611909650924,3.59958932238193,3.1611909650924,2.9435318275154,2.58624229979466,3.07700205338809,3.60369609856263,2.70739219712526,1.32066831134682,1.18954375953623,1.39519490303914,1.06288263610291,1.32359433661636,0.88973116021703,0.948265383000141,1.24899704759513,1.23393218543382,0.842678394685249,1.13084598323102,1.31311319380987,1.55091895975739,1.32548100563257,1.20515520701655,1.26970292349283,1.50381026947289,1.21154645658656,1.25316713481664,1.31150931410929,1.27200322464235,1.20078357964845,1.21485023773296,1.37294212737759,1.23349744962024,1.29068842315411,1.09320967983607,1.13452646507024,1.44527815705781,1.20166993421983,1.254909243623,1.31717037634193,8,13,27
"71",321,"b1932d704b00e7d79dd62483fae8e1a9",320,"SL","no faking","male",1952,"German","Hauptschule",5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,1,5,2,1,4,5,1,2,5,1,1,5,1,10235,4484,5081,5669,3577,8082,9177,16096,3805,9645,9777,6881,7198,3190,3593,4229,4,1,1,4,5,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,1,5,"explicit DK","substantive","substantive","substantive","substantive","substantive","substantive","don't know","don't know","substantive","substantive","substantive","don't know","don't know","don't know",4783,2630,2469,1936,2618,1401,3483,2686,4014,1818,2401,2620,2731,2799,2.86036960985626,3.0605749486653,2.61088295687885,4.11909650924025,2.45893223819302,3.82956878850103,4.06673511293635,2.04209445585216,2.55441478439425,3.4394250513347,3.46509240246407,2.26488706365503,2.83675564681725,3.1611909650924,3.44558521560575,3.45379876796715,2.77618069815195,3.18172484599589,3.24332648870637,3.2217659137577,2.26488706365503,3.74640657084189,3.09034907597536,2.75154004106776,2.6611909650924,3.59958932238193,3.1611909650924,2.9435318275154,2.58624229979466,3.07700205338809,3.60369609856263,2.70739219712526,1.32066831134682,1.18954375953623,1.39519490303914,1.06288263610291,1.32359433661636,0.88973116021703,0.948265383000141,1.24899704759513,1.23393218543382,0.842678394685249,1.13084598323102,1.31311319380987,1.55091895975739,1.32548100563257,1.20515520701655,1.26970292349283,1.50381026947289,1.21154645658656,1.25316713481664,1.31150931410929,1.27200322464235,1.20078357964845,1.21485023773296,1.37294212737759,1.23349744962024,1.29068842315411,1.09320967983607,1.13452646507024,1.44527815705781,1.20166993421983,1.254909243623,1.31717037634193,9,14,35
"73",323,"4175940987d1d34555060c9d5e159c2b",322,"SL","no faking","female",1967,"German","Hauptschule",3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,1,1,1,1,4,3,2,1,3,1,1,3,3,3092,2674,3412,1654,2346,2123,1767,3878,3523,3096,2078,5374,2852,1695,2449,4051,3,2,5,5,4,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,4,1,5,"implicit DK","substantive","substantive","substantive","substantive","don't know","substantive","substantive","substantive","substantive","substantive","don't know","don't know","don't know","don't know",1908,1265,2338,2814,1994,8412,2429,1986,1761,6351,2111,1583,2215,1709,2.86036960985626,3.0605749486653,2.61088295687885,4.11909650924025,2.45893223819302,3.82956878850103,4.06673511293635,2.04209445585216,2.55441478439425,3.4394250513347,3.46509240246407,2.26488706365503,2.83675564681725,3.1611909650924,3.44558521560575,3.45379876796715,2.77618069815195,3.18172484599589,3.24332648870637,3.2217659137577,2.26488706365503,3.74640657084189,3.09034907597536,2.75154004106776,2.6611909650924,3.59958932238193,3.1611909650924,2.9435318275154,2.58624229979466,3.07700205338809,3.60369609856263,2.70739219712526,1.32066831134682,1.18954375953623,1.39519490303914,1.06288263610291,1.32359433661636,0.88973116021703,0.948265383000141,1.24899704759513,1.23393218543382,0.842678394685249,1.13084598323102,1.31311319380987,1.55091895975739,1.32548100563257,1.20515520701655,1.26970292349283,1.50381026947289,1.21154645658656,1.25316713481664,1.31150931410929,1.27200322464235,1.20078357964845,1.21485023773296,1.37294212737759,1.23349744962024,1.29068842315411,1.09320967983607,1.13452646507024,1.44527815705781,1.20166993421983,1.254909243623,1.31717037634193,13,13,36
"93",343,"a2f4d70d5d9251bcef3317a5e63c7e8d",342,"SL","no faking","female",1965,"German","Abitur",3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,5,3,2,5,1,4,1,5,5,2,4,1,3,1,6200,3970,3419,3506,2835,3772,2587,4418,4353,4019,3339,2498,5018,3403,4979,7148,2,1,4,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,2,5,"implicit DK","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive","substantive","don't know","substantive","substantive",2109,2522,1939,3394,3132,1147,3123,2451,1875,1764,1251,2955,2394,2267,2.86036960985626,3.0605749486653,2.61088295687885,4.11909650924025,2.45893223819302,3.82956878850103,4.06673511293635,2.04209445585216,2.55441478439425,3.4394250513347,3.46509240246407,2.26488706365503,2.83675564681725,3.1611909650924,3.44558521560575,3.45379876796715,2.77618069815195,3.18172484599589,3.24332648870637,3.2217659137577,2.26488706365503,3.74640657084189,3.09034907597536,2.75154004106776,2.6611909650924,3.59958932238193,3.1611909650924,2.9435318275154,2.58624229979466,3.07700205338809,3.60369609856263,2.70739219712526,1.32066831134682,1.18954375953623,1.39519490303914,1.06288263610291,1.32359433661636,0.88973116021703,0.948265383000141,1.24899704759513,1.23393218543382,0.842678394685249,1.13084598323102,1.31311319380987,1.55091895975739,1.32548100563257,1.20515520701655,1.26970292349283,1.50381026947289,1.21154645658656,1.25316713481664,1.31150931410929,1.27200322464235,1.20078357964845,1.21485023773296,1.37294212737759,1.23349744962024,1.29068842315411,1.09320967983607,1.13452646507024,1.44527815705781,1.20166993421983,1.254909243623,1.31717037634193,7,13,46
"97",347,"6de294f175f7c4c52b64e9dce25aac2e",346,"SL","no faking","female",1957,"German","Realschule",2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,2,2,2,4,3,3,4,3,4,2,2,3,4,24648,48498,9163,16329,7043,49517,9908,21043,8998,11677,11747,24513,108839,18455,15785,17852,4,1,4,4,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,5,3,5,"implicit DK","don't know","substantive","don't know","don't know","don't know","don't know","don't know","don't know","substantive","don't know","don't know","don't know","don't know","don't know",3099,5915,5505,20012,4340,3548,4731,3804,9410,3763,12155,2790,4234,7707,2.86036960985626,3.0605749486653,2.61088295687885,4.11909650924025,2.45893223819302,3.82956878850103,4.06673511293635,2.04209445585216,2.55441478439425,3.4394250513347,3.46509240246407,2.26488706365503,2.83675564681725,3.1611909650924,3.44558521560575,3.45379876796715,2.77618069815195,3.18172484599589,3.24332648870637,3.2217659137577,2.26488706365503,3.74640657084189,3.09034907597536,2.75154004106776,2.6611909650924,3.59958932238193,3.1611909650924,2.9435318275154,2.58624229979466,3.07700205338809,3.60369609856263,2.70739219712526,1.32066831134682,1.18954375953623,1.39519490303914,1.06288263610291,1.32359433661636,0.88973116021703,0.948265383000141,1.24899704759513,1.23393218543382,0.842678394685249,1.13084598323102,1.31311319380987,1.55091895975739,1.32548100563257,1.20515520701655,1.26970292349283,1.50381026947289,1.21154645658656,1.25316713481664,1.31150931410929,1.27200322464235,1.20078357964845,1.21485023773296,1.37294212737759,1.23349744962024,1.29068842315411,1.09320967983607,1.13452646507024,1.44527815705781,1.20166993421983,1.254909243623,1.31717037634193,12,11,48
"118",368,"dd2e4960453ed6823fa7499735eef230",367,"SL","no faking","male",1965,"German","Fachhochschulreife",5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,2,2,1,5,4,3,3,4,3,1,2,3,4426,4667,2935,3304,3513,4419,4398,5165,2456,3561,3273,3521,4597,3153,3383,3272,4,3,4,4,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,3,2,4,"explicit DK","substantive","substantive","substantive","substantive","don't know","substantive","don't know","substantive","substantive","substantive","substantive","don't know","substantive","don't know",6808,2936,3731,1928,2448,1889,3234,1652,1940,3822,2317,2395,2895,8426,2.86036960985626,3.0605749486653,2.61088295687885,4.11909650924025,2.45893223819302,3.82956878850103,4.06673511293635,2.04209445585216,2.55441478439425,3.4394250513347,3.46509240246407,2.26488706365503,2.83675564681725,3.1611909650924,3.44558521560575,3.45379876796715,2.77618069815195,3.18172484599589,3.24332648870637,3.2217659137577,2.26488706365503,3.74640657084189,3.09034907597536,2.75154004106776,2.6611909650924,3.59958932238193,3.1611909650924,2.9435318275154,2.58624229979466,3.07700205338809,3.60369609856263,2.70739219712526,1.32066831134682,1.18954375953623,1.39519490303914,1.06288263610291,1.32359433661636,0.88973116021703,0.948265383000141,1.24899704759513,1.23393218543382,0.842678394685249,1.13084598323102,1.31311319380987,1.55091895975739,1.32548100563257,1.20515520701655,1.26970292349283,1.50381026947289,1.21154645658656,1.25316713481664,1.31150931410929,1.27200322464235,1.20078357964845,1.21485023773296,1.37294212737759,1.23349744962024,1.29068842315411,1.09320967983607,1.13452646507024,1.44527815705781,1.20166993421983,1.254909243623,1.31717037634193,12,12,58
